feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err,hlevel,model
"(0, 2, 3, 5, 57, 112, 118, 119, 120, 121, 122, 123, 124, 140, 142)",[0.97895295 0.97925685 0.99575784 0.98755411 0.96226943],0.9807582361701837,"('hill_climbing.avg_dist_between_opt', 'hill_climbing.avg_dist_local_to_global', 'hill_climbing.std_dist_local_to_global', 'gradient.g_avg', 'ela_distr.kurtosis', 'ela_local.n_loc_opt.abs', 'ela_local.fun_evals.min', 'ela_local.fun_evals.lq', 'ela_local.fun_evals.mean', 'ela_local.fun_evals.median', 'ela_local.fun_evals.uq', 'ela_local.fun_evals.max', 'ela_local.fun_evals.sd', 'lon.n_optima', 'lon.n_funnels')",0.014295315361835351,0.011122241010355223,0.005561120505177611,global_structure,svm
"(0, 2, 3, 5, 57, 63, 112, 118, 119, 120, 121, 122, 123, 124, 140, 142)",[0.97895295 0.97925685 0.99575784 0.98755411 0.96226943],0.9807582361701837,"('hill_climbing.avg_dist_between_opt', 'hill_climbing.avg_dist_local_to_global', 'hill_climbing.std_dist_local_to_global', 'gradient.g_avg', 'ela_distr.kurtosis', 'cm_angle.angle_mean', 'ela_local.n_loc_opt.abs', 'ela_local.fun_evals.min', 'ela_local.fun_evals.lq', 'ela_local.fun_evals.mean', 'ela_local.fun_evals.median', 'ela_local.fun_evals.uq', 'ela_local.fun_evals.max', 'ela_local.fun_evals.sd', 'lon.n_optima', 'lon.n_funnels')",0.014295315361835351,0.011122241010355223,0.005561120505177611,global_structure,svm
"(0, 2, 3, 5, 6, 8, 57, 63, 112, 118, 119, 121, 122, 123, 124, 140, 142)",[0.97895295 0.97925685 0.99575784 0.98755411 0.96226943],0.9807582361701837,"('hill_climbing.avg_dist_between_opt', 'hill_climbing.avg_dist_local_to_global', 'hill_climbing.std_dist_local_to_global', 'gradient.g_avg', 'gradient.g_std', 'fitness_distance.fd_correlation', 'ela_distr.kurtosis', 'cm_angle.angle_mean', 'ela_local.n_loc_opt.abs', 'ela_local.fun_evals.min', 'ela_local.fun_evals.lq', 'ela_local.fun_evals.median', 'ela_local.fun_evals.uq', 'ela_local.fun_evals.max', 'ela_local.fun_evals.sd', 'lon.n_optima', 'lon.n_funnels')",0.014295315361835351,0.011122241010355223,0.005561120505177611,global_structure,svm
"(0, 2, 3, 5, 6, 8, 10, 57, 63, 112, 118, 119, 121, 122, 123, 124, 140, 142)",[0.97895295 0.97925685 0.99575784 0.98755411 0.9583095 ],0.979966250378198,"('hill_climbing.avg_dist_between_opt', 'hill_climbing.avg_dist_local_to_global', 'hill_climbing.std_dist_local_to_global', 'gradient.g_avg', 'gradient.g_std', 'fitness_distance.fd_correlation', 'fitness_distance.distance_mean', 'ela_distr.kurtosis', 'cm_angle.angle_mean', 'ela_local.n_loc_opt.abs', 'ela_local.fun_evals.min', 'ela_local.fun_evals.lq', 'ela_local.fun_evals.median', 'ela_local.fun_evals.uq', 'ela_local.fun_evals.max', 'ela_local.fun_evals.sd', 'lon.n_optima', 'lon.n_funnels')",0.016027477710993512,0.012469922165248379,0.006234961082624189,global_structure,svm
"(0, 2, 3, 5, 6, 8, 10, 11, 57, 63, 64, 112, 118, 119, 122, 123, 124, 140, 142)",[0.97895295 0.97925685 0.99575784 0.98755411 0.9583095 ],0.979966250378198,"('hill_climbing.avg_dist_between_opt', 'hill_climbing.avg_dist_local_to_global', 'hill_climbing.std_dist_local_to_global', 'gradient.g_avg', 'gradient.g_std', 'fitness_distance.fd_correlation', 'fitness_distance.distance_mean', 'fitness_distance.distance_std', 'ela_distr.kurtosis', 'cm_angle.angle_mean', 'cm_angle.angle_sd', 'ela_local.n_loc_opt.abs', 'ela_local.fun_evals.min', 'ela_local.fun_evals.lq', 'ela_local.fun_evals.uq', 'ela_local.fun_evals.max', 'ela_local.fun_evals.sd', 'lon.n_optima', 'lon.n_funnels')",0.016027477710993512,0.012469922165248379,0.006234961082624189,global_structure,svm
"(0, 2, 3, 5, 6, 8, 10, 11, 14, 57, 63, 64, 112, 118, 119, 122, 123, 124, 140, 142)",[0.97895295 0.97512336 0.99575784 0.98755411 0.9583095 ],0.9791395505794587,"('hill_climbing.avg_dist_between_opt', 'hill_climbing.avg_dist_local_to_global', 'hill_climbing.std_dist_local_to_global', 'gradient.g_avg', 'gradient.g_std', 'fitness_distance.fd_correlation', 'fitness_distance.distance_mean', 'fitness_distance.distance_std', 'ela_meta.lin_simple.adj_r2', 'ela_distr.kurtosis', 'cm_angle.angle_mean', 'cm_angle.angle_sd', 'ela_local.n_loc_opt.abs', 'ela_local.fun_evals.min', 'ela_local.fun_evals.lq', 'ela_local.fun_evals.uq', 'ela_local.fun_evals.max', 'ela_local.fun_evals.sd', 'lon.n_optima', 'lon.n_funnels')",0.016227560311079293,0.012625593225578654,0.006312796612789326,global_structure,svm
"(0, 2, 5, 6, 8, 10, 11, 14, 19, 20, 57, 63, 64, 112, 118, 119, 122, 123, 124, 140, 142)",[0.97895295 0.97925685 0.99575784 0.98345785 0.96226943],0.979938983738028,"('hill_climbing.avg_dist_between_opt', 'hill_climbing.avg_dist_local_to_global', 'gradient.g_avg', 'gradient.g_std', 'fitness_distance.fd_correlation', 'fitness_distance.distance_mean', 'fitness_distance.distance_std', 'ela_meta.lin_simple.adj_r2', 'ela_meta.lin_w_interact.adj_r2', 'ela_meta.quad_simple.adj_r2', 'ela_distr.kurtosis', 'cm_angle.angle_mean', 'cm_angle.angle_sd', 'ela_local.n_loc_opt.abs', 'ela_local.fun_evals.min', 'ela_local.fun_evals.lq', 'ela_local.fun_evals.uq', 'ela_local.fun_evals.max', 'ela_local.fun_evals.sd', 'lon.n_optima', 'lon.n_funnels')",0.013798414641696866,0.010735635368736852,0.005367817684368426,global_structure,svm
"(0, 2, 5, 6, 8, 10, 11, 14, 19, 20, 57, 58, 63, 64, 112, 118, 121, 122, 123, 124, 140, 142)",[0.97895295 0.97925685 0.99575784 0.98755411 0.9583095 ],0.979966250378198,"('hill_climbing.avg_dist_between_opt', 'hill_climbing.avg_dist_local_to_global', 'gradient.g_avg', 'gradient.g_std', 'fitness_distance.fd_correlation', 'fitness_distance.distance_mean', 'fitness_distance.distance_std', 'ela_meta.lin_simple.adj_r2', 'ela_meta.lin_w_interact.adj_r2', 'ela_meta.quad_simple.adj_r2', 'ela_distr.kurtosis', 'ela_distr.number_of_peaks', 'cm_angle.angle_mean', 'cm_angle.angle_sd', 'ela_local.n_loc_opt.abs', 'ela_local.fun_evals.min', 'ela_local.fun_evals.median', 'ela_local.fun_evals.uq', 'ela_local.fun_evals.max', 'ela_local.fun_evals.sd', 'lon.n_optima', 'lon.n_funnels')",0.016027477710993512,0.012469922165248379,0.006234961082624189,global_structure,svm
"(0, 2, 5, 6, 8, 10, 11, 14, 19, 20, 57, 58, 63, 64, 112, 118, 119, 121, 122, 123, 124, 140, 142)",[0.97895295 0.97925685 0.99575784 0.98755411 0.95802166],0.9799086818362905,"('hill_climbing.avg_dist_between_opt', 'hill_climbing.avg_dist_local_to_global', 'gradient.g_avg', 'gradient.g_std', 'fitness_distance.fd_correlation', 'fitness_distance.distance_mean', 'fitness_distance.distance_std', 'ela_meta.lin_simple.adj_r2', 'ela_meta.lin_w_interact.adj_r2', 'ela_meta.quad_simple.adj_r2', 'ela_distr.kurtosis', 'ela_distr.number_of_peaks', 'cm_angle.angle_mean', 'cm_angle.angle_sd', 'ela_local.n_loc_opt.abs', 'ela_local.fun_evals.min', 'ela_local.fun_evals.lq', 'ela_local.fun_evals.median', 'ela_local.fun_evals.uq', 'ela_local.fun_evals.max', 'ela_local.fun_evals.sd', 'lon.n_optima', 'lon.n_funnels')",0.01615614828629582,0.012570032244195919,0.0062850161220979585,global_structure,svm
"(0, 2, 5, 6, 8, 10, 11, 14, 19, 20, 57, 58, 63, 64, 112, 118, 119, 121, 122, 123, 124, 126, 140, 142)",[0.97895295 0.97925685 0.99575784 0.98755411 0.95802166],0.9799086818362905,"('hill_climbing.avg_dist_between_opt', 'hill_climbing.avg_dist_local_to_global', 'gradient.g_avg', 'gradient.g_std', 'fitness_distance.fd_correlation', 'fitness_distance.distance_mean', 'fitness_distance.distance_std', 'ela_meta.lin_simple.adj_r2', 'ela_meta.lin_w_interact.adj_r2', 'ela_meta.quad_simple.adj_r2', 'ela_distr.kurtosis', 'ela_distr.number_of_peaks', 'cm_angle.angle_mean', 'cm_angle.angle_sd', 'ela_local.n_loc_opt.abs', 'ela_local.fun_evals.min', 'ela_local.fun_evals.lq', 'ela_local.fun_evals.median', 'ela_local.fun_evals.uq', 'ela_local.fun_evals.max', 'ela_local.fun_evals.sd', 'length_scale.shanon_entropy', 'lon.n_optima', 'lon.n_funnels')",0.01615614828629582,0.012570032244195919,0.0062850161220979585,global_structure,svm
"(0, 2, 5, 6, 8, 10, 11, 14, 19, 20, 21, 22, 57, 58, 63, 64, 112, 118, 119, 122, 123, 124, 126, 140, 142)",[0.97895295 0.97512336 0.99575784 0.98755411 0.95406955],0.9782915618441459,"('hill_climbing.avg_dist_between_opt', 'hill_climbing.avg_dist_local_to_global', 'gradient.g_avg', 'gradient.g_std', 'fitness_distance.fd_correlation', 'fitness_distance.distance_mean', 'fitness_distance.distance_std', 'ela_meta.lin_simple.adj_r2', 'ela_meta.lin_w_interact.adj_r2', 'ela_meta.quad_simple.adj_r2', 'ela_meta.quad_w_interact.adj_r2', 'pca.expl_var.cov_x', 'ela_distr.kurtosis', 'ela_distr.number_of_peaks', 'cm_angle.angle_mean', 'cm_angle.angle_sd', 'ela_local.n_loc_opt.abs', 'ela_local.fun_evals.min', 'ela_local.fun_evals.lq', 'ela_local.fun_evals.uq', 'ela_local.fun_evals.max', 'ela_local.fun_evals.sd', 'length_scale.shanon_entropy', 'lon.n_optima', 'lon.n_funnels')",0.01806779133167506,0.014057355478298226,0.007028677739149112,global_structure,svm
"(0, 2, 5, 6, 8, 10, 11, 14, 19, 20, 21, 22, 23, 57, 58, 63, 64, 112, 118, 119, 122, 123, 124, 126, 140, 142)",[0.97895295 0.97512336 0.99575784 0.98755411 0.95406955],0.9782915618441459,"('hill_climbing.avg_dist_between_opt', 'hill_climbing.avg_dist_local_to_global', 'gradient.g_avg', 'gradient.g_std', 'fitness_distance.fd_correlation', 'fitness_distance.distance_mean', 'fitness_distance.distance_std', 'ela_meta.lin_simple.adj_r2', 'ela_meta.lin_w_interact.adj_r2', 'ela_meta.quad_simple.adj_r2', 'ela_meta.quad_w_interact.adj_r2', 'pca.expl_var.cov_x', 'pca.expl_var.cor_x', 'ela_distr.kurtosis', 'ela_distr.number_of_peaks', 'cm_angle.angle_mean', 'cm_angle.angle_sd', 'ela_local.n_loc_opt.abs', 'ela_local.fun_evals.min', 'ela_local.fun_evals.lq', 'ela_local.fun_evals.uq', 'ela_local.fun_evals.max', 'ela_local.fun_evals.sd', 'length_scale.shanon_entropy', 'lon.n_optima', 'lon.n_funnels')",0.01806779133167506,0.014057355478298226,0.007028677739149112,global_structure,svm
"(0, 2, 5, 6, 8, 10, 11, 14, 19, 20, 21, 22, 23, 24, 57, 58, 63, 64, 112, 118, 119, 122, 123, 124, 126, 140, 142)",[0.97895295 0.97512336 0.99575784 0.98755411 0.95406955],0.9782915618441459,"('hill_climbing.avg_dist_between_opt', 'hill_climbing.avg_dist_local_to_global', 'gradient.g_avg', 'gradient.g_std', 'fitness_distance.fd_correlation', 'fitness_distance.distance_mean', 'fitness_distance.distance_std', 'ela_meta.lin_simple.adj_r2', 'ela_meta.lin_w_interact.adj_r2', 'ela_meta.quad_simple.adj_r2', 'ela_meta.quad_w_interact.adj_r2', 'pca.expl_var.cov_x', 'pca.expl_var.cor_x', 'pca.expl_var.cov_init', 'ela_distr.kurtosis', 'ela_distr.number_of_peaks', 'cm_angle.angle_mean', 'cm_angle.angle_sd', 'ela_local.n_loc_opt.abs', 'ela_local.fun_evals.min', 'ela_local.fun_evals.lq', 'ela_local.fun_evals.uq', 'ela_local.fun_evals.max', 'ela_local.fun_evals.sd', 'length_scale.shanon_entropy', 'lon.n_optima', 'lon.n_funnels')",0.01806779133167506,0.014057355478298226,0.007028677739149112,global_structure,svm
"(0, 2, 5, 6, 8, 10, 11, 14, 19, 20, 21, 22, 23, 24, 25, 57, 58, 63, 64, 112, 118, 119, 122, 123, 124, 126, 140, 142)",[0.97895295 0.97512336 0.99575784 0.98755411 0.95406955],0.9782915618441459,"('hill_climbing.avg_dist_between_opt', 'hill_climbing.avg_dist_local_to_global', 'gradient.g_avg', 'gradient.g_std', 'fitness_distance.fd_correlation', 'fitness_distance.distance_mean', 'fitness_distance.distance_std', 'ela_meta.lin_simple.adj_r2', 'ela_meta.lin_w_interact.adj_r2', 'ela_meta.quad_simple.adj_r2', 'ela_meta.quad_w_interact.adj_r2', 'pca.expl_var.cov_x', 'pca.expl_var.cor_x', 'pca.expl_var.cov_init', 'pca.expl_var.cor_init', 'ela_distr.kurtosis', 'ela_distr.number_of_peaks', 'cm_angle.angle_mean', 'cm_angle.angle_sd', 'ela_local.n_loc_opt.abs', 'ela_local.fun_evals.min', 'ela_local.fun_evals.lq', 'ela_local.fun_evals.uq', 'ela_local.fun_evals.max', 'ela_local.fun_evals.sd', 'length_scale.shanon_entropy', 'lon.n_optima', 'lon.n_funnels')",0.01806779133167506,0.014057355478298226,0.007028677739149112,global_structure,svm
"(0, 2, 5, 6, 8, 10, 11, 14, 19, 20, 21, 22, 23, 24, 25, 26, 57, 58, 63, 64, 112, 118, 119, 122, 123, 124, 126, 140, 142)",[0.97895295 0.97512336 0.99575784 0.98755411 0.95406955],0.9782915618441459,"('hill_climbing.avg_dist_between_opt', 'hill_climbing.avg_dist_local_to_global', 'gradient.g_avg', 'gradient.g_std', 'fitness_distance.fd_correlation', 'fitness_distance.distance_mean', 'fitness_distance.distance_std', 'ela_meta.lin_simple.adj_r2', 'ela_meta.lin_w_interact.adj_r2', 'ela_meta.quad_simple.adj_r2', 'ela_meta.quad_w_interact.adj_r2', 'pca.expl_var.cov_x', 'pca.expl_var.cor_x', 'pca.expl_var.cov_init', 'pca.expl_var.cor_init', 'pca.expl_var_PC1.cov_x', 'ela_distr.kurtosis', 'ela_distr.number_of_peaks', 'cm_angle.angle_mean', 'cm_angle.angle_sd', 'ela_local.n_loc_opt.abs', 'ela_local.fun_evals.min', 'ela_local.fun_evals.lq', 'ela_local.fun_evals.uq', 'ela_local.fun_evals.max', 'ela_local.fun_evals.sd', 'length_scale.shanon_entropy', 'lon.n_optima', 'lon.n_funnels')",0.01806779133167506,0.014057355478298226,0.007028677739149112,global_structure,svm
"(0, 2, 5, 6, 8, 10, 11, 14, 19, 20, 21, 22, 23, 24, 25, 26, 27, 57, 58, 63, 64, 112, 118, 119, 122, 123, 124, 126, 140, 142)",[0.97895295 0.97512336 0.99575784 0.98755411 0.95406955],0.9782915618441459,"('hill_climbing.avg_dist_between_opt', 'hill_climbing.avg_dist_local_to_global', 'gradient.g_avg', 'gradient.g_std', 'fitness_distance.fd_correlation', 'fitness_distance.distance_mean', 'fitness_distance.distance_std', 'ela_meta.lin_simple.adj_r2', 'ela_meta.lin_w_interact.adj_r2', 'ela_meta.quad_simple.adj_r2', 'ela_meta.quad_w_interact.adj_r2', 'pca.expl_var.cov_x', 'pca.expl_var.cor_x', 'pca.expl_var.cov_init', 'pca.expl_var.cor_init', 'pca.expl_var_PC1.cov_x', 'pca.expl_var_PC1.cor_x', 'ela_distr.kurtosis', 'ela_distr.number_of_peaks', 'cm_angle.angle_mean', 'cm_angle.angle_sd', 'ela_local.n_loc_opt.abs', 'ela_local.fun_evals.min', 'ela_local.fun_evals.lq', 'ela_local.fun_evals.uq', 'ela_local.fun_evals.max', 'ela_local.fun_evals.sd', 'length_scale.shanon_entropy', 'lon.n_optima', 'lon.n_funnels')",0.01806779133167506,0.014057355478298226,0.007028677739149112,global_structure,svm
